Date,Open,High,Low,Close,Volume
1/10/2023 15:30:00,1303,1303,1273,1279.2,3713755
1/11/2023 15:30:00,1276.25,1279,1260.55,1263.08,5311657
1/12/2023 15:30:00,1262.43,1266.25,1232.5,1235.8,8163366
1/13/2023 15:30:00,1229.2,1236.45,1217.3,1233.8,9515473
1/16/2023 15:30:00,1236.35,1239.83,1213.5,1222.05,6287407
1/17/2023 15:30:00,1229,1241.5,1225.3,1239.4,4961585
1/18/2023 15:30:00,1236.75,1245.55,1230.18,1237.35,6206382
1/19/2023 15:30:00,1236.45,1240.58,1228.33,1236.03,5510333
1/20/2023 15:30:00,1237.5,1237.5,1218.63,1221.33,6890325
1/23/2023 15:30:00,1224.5,1233.1,1212.5,1215.15,5055324
1/24/2023 15:30:00,1220,1221.83,1193.68,1207.97,7609558
1/25/2023 15:30:00,1206.22,1207.35,1190,1191.28,5715684
1/27/2023 15:30:00,1192.2,1193.68,1155.83,1168.68,11920991
1/30/2023 15:30:00,1165.85,1185.95,1150.5,1179.88,10047822
1/31/2023 15:30:00,1191,1193.83,1170.5,1176.93,10472167
2/1/2023 15:30:00,1189.97,1189.97,1152.5,1169.95,8929007
2/2/2023 15:30:00,1159,1174,1155.5,1163.47,6305317
2/3/2023 15:30:00,1174.5,1174.5,1146.5,1164.5,11398850
2/6/2023 15:30:00,1157.5,1160.5,1152.9,1155.72,6847679
2/7/2023 15:30:00,1156,1163.7,1146.5,1152.95,6985001
2/8/2023 15:30:00,1156.5,1179.95,1153.5,1175.97,9765490
2/9/2023 15:30:00,1176.72,1185.43,1167,1178.03,6079228
2/10/2023 15:30:00,1177.45,1177.45,1160.65,1168.33,4979789
2/13/2023 15:30:00,1170.1,1175,1156.78,1161.68,4777674
2/14/2023 15:30:00,1164.97,1190.95,1161.83,1189.05,6609564
2/15/2023 15:30:00,1188,1218.6,1186.5,1215.97,15461902
2/16/2023 15:30:00,1224.72,1231.9,1212.53,1215.03,7967558
2/17/2023 15:30:00,1210,1223.75,1205.3,1220.1,5450092
2/20/2023 15:30:00,1222.5,1224.88,1205.05,1207.2,4078245
2/21/2023 15:30:00,1212,1223.4,1206.18,1217.05,6143298
2/22/2023 15:30:00,1212.97,1215,1187.53,1189.45,5087729
2/23/2023 15:30:00,1189,1197.38,1180.68,1183.75,4546655
2/24/2023 15:30:00,1186,1198.08,1184,1191.85,4353814
2/27/2023 15:30:00,1191,1194.83,1175.85,1183.93,5168667
2/28/2023 15:30:00,1178.05,1183.5,1156.83,1161.28,10150245
3/1/2023 15:30:00,1172,1172.75,1161.63,1171.95,5330852
3/2/2023 15:30:00,1168.5,1175.83,1160.8,1163.03,4307425
3/3/2023 15:30:00,1174.58,1196.72,1170.78,1192.7,6758115
3/6/2023 15:30:00,1200,1212.3,1200,1204.35,4694338
3/8/2023 15:30:00,1204.35,1209.5,1192.5,1208.68,7283694
3/9/2023 15:30:00,1208,1208.45,1177.55,1179.63,7492509
3/10/2023 15:30:00,1170.75,1172,1157.53,1161.35,6153681
3/13/2023 15:30:00,1164.5,1172,1137.5,1142.25,5894088
3/14/2023 15:30:00,1140,1152.47,1134.53,1137.97,7396699
3/15/2023 15:30:00,1142.05,1149.15,1113.7,1118.53,10027725
3/16/2023 15:30:00,1121.5,1127,1101.1,1112.95,8474595
3/17/2023 15:30:00,1122.38,1125.97,1106.35,1111.55,15697554
3/20/2023 15:30:00,1107.5,1110,1090,1100.63,9010595
3/21/2023 15:30:00,1109.47,1137,1108.5,1134.85,9876263
3/22/2023 15:30:00,1142.5,1145.72,1135,1138.3,5039622
3/23/2023 15:30:00,1134,1134.95,1121.53,1123.9,7499082
3/24/2023 15:30:00,1122.63,1125,1099,1101.65,5711497
3/27/2023 15:30:00,1108.75,1127,1100.1,1118.78,6486068
3/28/2023 15:30:00,1122.5,1128.25,1118.5,1124,5804018
